Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price,Model
2015,1001,Diesel,Manual,25.83,1498.0,99.0,5.0,7.55,ford figo
2007,59000,Petrol,Manual,15.26,1150.0,74.9,5.0,0.99,chevrolet aveo
2011,78256,Petrol,Automatic,16.8,1497.0,118.0,5.0,4.15,honda city
2016,90000,Petrol,Manual,16.95,1498.0,97.6,5.0,6.2,nissan sunny
2016,18000,Petrol,Manual,19.1,1197.0,85.8,5.0,4.4,suzuki swift
2012,60000,Diesel,Manual,20.0,1399.0,68.0,5.0,2.1,ford figo
2018,32851,Petrol,Manual,18.6,1197.0,81.86,5.0,8.34,hyundai elite
2014,32000,Diesel,Manual,23.4,1248.0,74.0,5.0,4.35,suzuki swift
2014,62700,Diesel,Manual,22.7,1498.0,89.84,5.0,6.8,ford ecosport
2010,71000,Diesel,Manual,19.3,1248.0,73.9,5.0,3.3,suzuki swift
2016,19947,Petrol,Manual,18.9,1197.0,82.0,5.0,5.04,hyundai grand
2012,91000,Diesel,Automatic,11.4,2953.0,153.86,7.0,9.2,ford endeavour
2014,74000,Diesel,Manual,22.07,1199.0,73.9,5.0,5.7,volkswagen polo
2012,110224,Diesel,Manual,19.01,1461.0,108.45,5.0,6.1,renault duster
2010,21002,Petrol,Manual,22.5,998.0,67.04,5.0,2.75,suzuki wagon
2017,121000,Diesel,Manual,24.52,1248.0,88.5,7.0,8.0,suzuki ertiga
2010,73513,Petrol,Manual,19.7,796.0,46.3,5.0,1.85,suzuki alto
2015,34000,Petrol,Automatic,20.51,998.0,67.0,5.0,3.85,suzuki wagon
2017,28371,Petrol,Manual,15.1,1196.0,73.0,7.0,4.74,suzuki eeco
2013,74755,Diesel,Manual,19.6,1461.0,108.45,5.0,5.63,renault duster
2011,25805,Petrol,Manual,18.2,1061.0,64.0,5.0,2.62,suzuki zen
2015,82603,Petrol,Manual,13.06,1598.0,102.53,5.0,4.9,renault duster
2006,110000,Petrol,Manual,13.5,1799.0,130.0,5.0,2.65,honda civic
2012,88000,Diesel,Manual,16.0,2179.0,140.0,7.0,5.99,mahindra xuv500
2017,15000,Petrol,Manual,21.7,999.0,67.0,5.0,4.25,renault kwid
2008,150000,Diesel,Manual,28.4,1248.0,74.0,5.0,2.7,suzuki swift
2011,37442,Petrol,Manual,18.5,1197.0,80.0,5.0,3.4,hyundai i20
2012,88000,Diesel,Manual,20.77,1248.0,88.8,7.0,5.85,suzuki ertiga
2014,42355,Petrol,Manual,18.9,1197.0,82.0,5.0,4.0,hyundai grand
2011,75871,Petrol,Automatic,9.43,2996.0,254.0,5.0,14.12,bmw 3
2011,65000,Diesel,Manual,17.9,1998.0,163.7,5.0,4.55,chevrolet cruze
2011,79232,Diesel,Manual,21.1,1248.0,73.9,5.0,2.9,suzuki ritz
2016,28470,Petrol,Manual,18.6,1197.0,81.83,5.0,6.95,hyundai i20
2014,9759,Petrol,Manual,20.3,998.0,68.05,5.0,2.75,hyundai eon
2014,75216,Diesel,Manual,22.9,1248.0,74.0,5.0,5.1,suzuki swift
2017,8000,Petrol,Manual,18.6,1197.0,81.83,5.0,6.75,hyundai i20
2014,59451,Petrol,Manual,18.5,1197.0,85.8,5.0,3.69,suzuki ritz
2013,53996,Diesel,Manual,22.9,1248.0,74.0,5.0,5.45,suzuki swift
2015,53000,Petrol,Automatic,16.9,1197.0,81.86,5.0,4.0,hyundai xcent
2013,40000,Petrol,Manual,18.0,1198.0,86.7,5.0,2.9,honda amaze
2013,21107,Petrol,Manual,17.1,1591.0,121.3,5.0,5.25,hyundai verna
2014,56000,Petrol,Manual,16.8,1497.0,116.3,5.0,5.75,honda city
2017,19623,Petrol,Manual,15.29,1591.0,121.3,5.0,13.12,hyundai creta
2014,70963,Diesel,Manual,15.1,2179.0,140.0,7.0,7.83,mahindra xuv500
2013,25755,CNG,Manual,26.6,998.0,58.16,5.0,3.15,suzuki wagon
2013,51450,Diesel,Manual,12.8,2494.0,102.0,7.0,10.4,toyota innova
2012,75000,Diesel,Manual,22.9,1248.0,74.0,5.0,4.35,suzuki swift
2017,37832,Petrol,Automatic,22.5,998.0,67.0,5.0,5.23,suzuki wagon
2016,43041,Petrol,Manual,18.9,1197.0,81.86,5.0,6.01,hyundai grand
2014,97236,Diesel,Manual,25.8,1498.0,98.6,5.0,4.4,honda amaze
2010,83000,Diesel,Automatic,16.07,1995.0,181.0,5.0,12.75,bmw 3
2011,65000,Petrol,Manual,15.6,1196.0,70.0,5.0,2.4,ford figo
2018,46007,Petrol,Manual,17.0,1198.0,73.75,5.0,5.71,volkswagen ameo
2015,65925,Diesel,Manual,22.7,1498.0,89.84,5.0,5.49,ford ecosport
2004,73500,Petrol,Manual,13.0,1343.0,90.0,5.0,1.3,honda city
2014,55000,Diesel,Manual,16.0,2179.0,140.0,7.0,8.5,mahindra xuv500
2012,115000,Diesel,Manual,13.0,2982.0,168.5,7.0,12.99,toyota fortuner
2017,31184,Petrol,Manual,18.9,1197.0,81.86,5.0,5.0,hyundai grand
2017,41747,Diesel,Automatic,28.4,1248.0,73.75,5.0,9.0,suzuki dzire
2016,38143,Diesel,Manual,22.9,1248.0,74.0,5.0,5.22,suzuki swift
2012,19030,Petrol,Manual,16.47,1198.0,73.9,5.0,3.8,volkswagen polo
2019,20877,Petrol,Manual,18.16,1197.0,78.9,5.0,7.27,toyota etios
2016,23555,Petrol,Manual,22.0,1197.0,81.8,5.0,5.1,suzuki swift
2013,61000,Petrol,Manual,18.9,998.0,67.1,5.0,2.9,suzuki wagon
2011,46000,Petrol,Manual,13.4,1798.0,157.8,5.0,5.5,skoda laura
2016,28000,Petrol,Automatic,17.21,1197.0,103.5,5.0,7.25,volkswagen polo
2014,83558,Diesel,Manual,22.32,1582.0,126.32,5.0,6.98,hyundai verna
2013,36000,Petrol,Manual,21.1,814.0,55.2,5.0,1.95,hyundai eon
2014,21000,Diesel,Automatic,17.11,1968.0,174.33,5.0,24.5,audi a4
2013,62162,Diesel,Manual,12.99,2494.0,100.0,7.0,8.31,toyota innova
2015,58000,Diesel,Manual,24.4,1120.0,71.0,5.0,5.5,hyundai xcent
2011,62332,Petrol,Automatic,11.7,2354.0,177.6,5.0,5.89,honda accord
2016,50867,Diesel,Manual,20.34,1498.0,103.2,5.0,7.95,volkswagen vento
2010,73000,Petrol,Manual,17.0,1197.0,80.0,5.0,2.75,hyundai i20
2012,98008,Diesel,Manual,22.7,1582.0,126.24,5.0,6.25,hyundai elantra
2015,36000,Diesel,Manual,20.0,1399.0,68.05,5.0,4.95,ford figo
2019,27339,Petrol,Manual,18.6,1197.0,81.83,5.0,6.27,hyundai i20
2017,25000,Diesel,Manual,23.9,1582.0,126.2,5.0,8.65,hyundai verna
2014,37000,Petrol,Manual,18.9,1197.0,82.0,5.0,3.5,hyundai grand
2015,27000,Petrol,Manual,17.5,1298.0,85.8,5.0,4.45,suzuki swift
2012,37000,Petrol,Manual,18.5,1197.0,80.0,5.0,2.65,hyundai i20
2017,10500,Diesel,Manual,25.32,1198.0,77.0,5.0,4.7,mahindra kuv
2014,49000,Diesel,Automatic,18.23,1582.0,126.2,5.0,8.9,hyundai elantra
2017,7000,Diesel,Manual,17.1,1956.0,170.0,5.0,17.45,jeep compass
2017,71256,Diesel,Manual,24.3,1248.0,88.5,5.0,9.58,suzuki vitara
2012,83184,Petrol,Manual,14.28,1798.0,138.03,5.0,6.22,toyota corolla
2013,87284,Diesel,Manual,15.1,2179.0,140.0,7.0,7.8,mahindra xuv500
2015,29000,Diesel,Manual,22.54,1396.0,88.73,5.0,7.0,hyundai i20
2013,64000,Diesel,Manual,17.3,1998.0,163.7,5.0,6.5,chevrolet cruze
2011,82000,Petrol,Manual,18.5,1197.0,80.0,5.0,2.7,hyundai i20
2012,70000,Petrol,Manual,19.4,1198.0,86.8,5.0,2.5,honda brio
2015,58000,Petrol,Manual,16.47,1198.0,73.9,5.0,3.95,volkswagen polo
2010,77000,Petrol,Manual,20.36,1197.0,78.9,5.0,2.1,hyundai i10
2007,70000,Petrol,Manual,19.81,1086.0,68.05,5.0,2.0,hyundai i10
2014,79870,Diesel,Manual,20.77,1248.0,88.76,7.0,5.35,suzuki ertiga
2013,90000,Diesel,Manual,25.8,1498.0,98.6,5.0,3.8,honda amaze
2018,46493,Petrol,Manual,18.9,1197.0,81.86,5.0,5.53,hyundai grand
2009,68000,Petrol,Manual,20.36,1197.0,78.9,5.0,1.95,hyundai i10
2017,2000,Diesel,Manual,28.4,1248.0,74.0,5.0,8.2,suzuki swift
1999,140000,Petrol,Manual,13.0,1343.0,90.0,5.0,0.9,honda city
2016,39228,Petrol,Manual,15.7,1368.0,112.4,5.0,6.58,fiat linea
2011,57000,Petrol,Manual,14.49,1399.0,92.7,5.0,2.1,chevrolet aveo
2008,85445,Petrol,Manual,19.81,1086.0,68.05,5.0,2.0,hyundai i10
2015,54000,Diesel,Manual,24.4,1120.0,71.0,5.0,3.7,hyundai xcent
2014,53000,Petrol,Automatic,23.1,998.0,67.04,5.0,3.8,suzuki celerio
2014,60000,Petrol,Manual,20.36,1197.0,78.9,5.0,3.25,hyundai i10
2015,65668,Diesel,Manual,19.87,1461.0,83.8,5.0,5.53,renault duster
2011,100000,Diesel,Automatic,22.69,1995.0,190.0,5.0,10.9,bmw 3
2018,1800,Petrol,Manual,18.9,1197.0,82.0,5.0,5.1,hyundai grand
2009,44200,Petrol,Manual,18.0,995.0,62.0,5.0,1.6,chevrolet spark
2018,14000,Petrol,Manual,17.4,1497.0,117.3,5.0,11.25,honda city
2012,73000,Diesel,Automatic,11.5,2982.0,169.0,7.0,14.4,toyota fortuner
2011,68000,Petrol,Manual,17.0,1497.0,118.0,5.0,3.6,honda city
2014,32805,Diesel,Manual,23.2,1248.0,73.94,5.0,3.6,suzuki ritz
2016,44782,Diesel,Automatic,21.21,1498.0,103.2,5.0,7.12,volkswagen vento
2016,55700,Diesel,Manual,26.0,1498.0,98.6,5.0,7.52,honda city
2012,60000,Diesel,Automatic,15.2,1968.0,140.8,5.0,10.35,audi a4
2014,56000,Petrol,Manual,15.0,1598.0,103.52,5.0,7.0,skoda rapid
2011,60000,Diesel,Manual,11.5,2982.0,171.0,7.0,10.85,toyota fortuner
2010,78563,Diesel,Manual,16.52,1991.0,123.7,5.0,2.35,chevrolet optra
2014,34669,Petrol,Manual,15.1,1196.0,73.0,7.0,2.9,suzuki eeco
2017,17000,Petrol,Manual,20.73,1373.0,91.1,5.0,7.65,suzuki ciaz
2016,66000,Diesel,Manual,28.09,1248.0,88.5,5.0,6.4,suzuki ciaz
2014,102418,Diesel,Manual,12.99,2494.0,100.6,7.0,10.1,toyota innova
2014,48800,Petrol,Manual,19.1,1197.0,85.8,5.0,4.25,suzuki swift
2019,10601,Diesel,Automatic,11.36,2755.0,171.5,7.0,19.65,toyota innova
2017,8200,Diesel,Manual,25.0,1396.0,69.0,5.0,4.4,tata indica
2012,100000,Petrol,Manual,18.5,1197.0,82.85,5.0,3.25,hyundai i20
2012,78000,Diesel,Manual,17.8,1399.0,68.0,5.0,2.8,ford fiesta
2006,89327,Diesel,Manual,17.8,1399.0,68.0,5.0,1.55,ford fiesta
2007,98000,Petrol,Manual,10.8,2354.0,152.0,5.0,4.7,honda cr-v
2017,24700,Petrol,Manual,18.7,1199.0,88.7,5.0,7.07,honda jazz
2018,9434,Petrol,Manual,18.9,1197.0,81.86,5.0,5.75,hyundai grand
2012,29000,Petrol,Manual,18.5,1197.0,85.8,5.0,3.25,suzuki ritz
2017,22440,Diesel,Automatic,22.0,1498.0,108.495,5.0,8.89,volkswagen ameo
2015,73070,Petrol,Manual,17.4,1497.0,117.3,5.0,5.9,honda city
2016,21771,Petrol,Manual,18.7,1199.0,88.7,5.0,4.95,honda jazz
2014,62000,Diesel,Manual,17.8,1248.0,75.0,5.0,3.75,suzuki swift
2017,37024,Diesel,Automatic,17.01,1582.0,126.2,5.0,10.97,hyundai creta
2014,26008,Petrol,Manual,21.1,814.0,55.2,5.0,1.97,hyundai eon
2010,90000,Diesel,Manual,20.0,1399.0,68.0,5.0,1.4,ford figo
2018,35569,Petrol,Manual,17.0,1198.0,73.75,5.0,7.27,volkswagen ameo
2015,45000,Petrol,Manual,18.7,1199.0,88.7,5.0,4.75,honda jazz
2015,42000,Petrol,Manual,17.0,1197.0,80.0,5.0,5.1,hyundai i20
2012,46913,Diesel,Automatic,14.94,2967.0,241.4,5.0,16.11,audi a4
2014,62000,Diesel,Automatic,11.18,2696.0,184.0,7.0,10.55,mahindra ssangyong
2002,69000,Diesel,Manual,18.7,1896.0,66.0,5.0,1.6,skoda octavia
2012,41367,Diesel,Automatic,15.8,2148.0,170.0,5.0,18.49,mercedes-benz new
2018,15982,Petrol,Manual,20.73,1373.0,91.1,5.0,9.96,suzuki ciaz
2013,99595,Diesel,Manual,22.9,1248.0,74.0,5.0,4.75,suzuki swift
2012,49000,Diesel,Automatic,16.73,2495.0,218.0,5.0,15.5,bmw 5
2013,48272,Diesel,Manual,10.5,2835.0,116.9,6.0,11.82,mitsubishi pajero
2008,63000,Petrol,Manual,13.4,1794.0,125.0,5.0,2.05,toyota corolla
2016,77000,CNG,Manual,26.6,998.0,58.16,5.0,3.3,suzuki wagon
2013,11734,Petrol,Manual,16.8,796.0,34.2,8.0,2.25,suzuki omni
2014,62012,Diesel,Automatic,17.68,1968.0,174.33,5.0,20.12,audi a6
2017,46000,CNG,Manual,25.0,1197.0,81.86,5.0,4.95,hyundai xcent
2016,45449,Diesel,Manual,27.3,1498.0,98.6,5.0,7.48,honda jazz
2004,85000,Petrol,Automatic,10.5,1796.0,157.7,5.0,5.5,mercedes-benz e-class
2013,45330,Diesel,Automatic,16.55,1968.0,147.51,5.0,13.19,audi a4
2012,88000,Petrol,Manual,19.1,1197.0,85.8,5.0,3.85,suzuki swift
2016,45376,Diesel,Manual,28.4,1248.0,73.75,5.0,5.75,suzuki dzire
2014,81000,Diesel,Manual,15.1,2179.0,140.0,7.0,9.0,mahindra xuv500
2012,83381,Petrol,Manual,18.6,1199.0,79.4,5.0,2.21,chevrolet beat
2017,78526,Diesel,Manual,23.0,1498.0,98.96,5.0,8.09,ford ecosport
2015,42265,Diesel,Automatic,20.68,1995.0,190.0,5.0,22.24,bmw x1
2009,21000,Petrol,Automatic,19.2,1197.0,80.0,5.0,2.6,hyundai i10
2016,55100,Diesel,Automatic,17.01,1582.0,126.2,5.0,12.0,hyundai creta
2014,70000,Diesel,Automatic,17.11,1968.0,174.33,5.0,18.0,audi a4
2012,58235,Petrol,Manual,20.36,1197.0,78.9,5.0,2.45,hyundai i10
2017,26000,Diesel,Manual,23.0,1498.0,98.96,5.0,8.99,ford ecosport
2011,35000,Diesel,Manual,20.54,1598.0,103.6,5.0,3.15,volkswagen vento
2017,24000,Diesel,Manual,28.4,1248.0,73.75,5.0,8.2,suzuki dzire
2016,98000,Diesel,Manual,15.4,1997.0,120.0,7.0,11.5,mahindra scorpio
2016,44487,Diesel,Manual,22.54,1396.0,88.73,5.0,7.3,hyundai i20
2008,65000,Petrol,Manual,19.7,796.0,46.3,5.0,1.59,suzuki alto
2015,34951,Petrol,Manual,20.36,1197.0,78.9,5.0,3.15,hyundai i10
2015,52373,Diesel,Manual,15.4,2179.0,120.0,7.0,8.5,mahindra scorpio
2010,66285,Diesel,Manual,19.5,1199.0,75.0,5.0,3.0,skoda fabia
2016,43000,Diesel,Manual,27.3,1498.0,98.6,5.0,7.75,honda jazz
2013,45200,Diesel,Automatic,10.0,2148.0,170.0,5.0,23.0,mercedes-benz e-class
2016,41000,Diesel,Automatic,16.0,2179.0,140.0,7.0,13.75,mahindra xuv500
2017,39430,Petrol,Automatic,18.0,1497.0,117.3,5.0,8.29,honda city
2014,83274,Diesel,Manual,22.9,1248.0,74.0,5.0,5.79,suzuki swift
2011,49999,Petrol,Manual,17.0,1497.0,118.0,5.0,3.8,honda city
2012,54000,Petrol,Manual,18.5,1197.0,82.85,5.0,3.3,hyundai i20
2009,80000,Diesel,Manual,20.4,1248.0,91.2,5.0,1.75,fiat linea
2011,72000,Petrol,Automatic,12.9,1799.0,130.0,5.0,5.5,honda civic
2017,44865,Diesel,Manual,19.67,1582.0,126.2,5.0,13.35,hyundai creta
2013,57478,Petrol,Manual,17.0,1591.0,121.3,5.0,5.25,hyundai verna
2011,75000,Diesel,Manual,21.9,1396.0,90.0,5.0,3.75,hyundai i20
2015,50624,Diesel,Manual,24.2,1498.0,98.6,7.0,6.32,honda mobilio
2018,75000,Diesel,Automatic,22.32,1582.0,126.32,5.0,7.75,hyundai verna
2006,87000,Petrol,Manual,15.3,1596.0,101.0,5.0,1.37,ford fiesta
2010,62000,Petrol,Manual,20.36,1197.0,78.9,5.0,2.1,hyundai i10
2016,41372,Diesel,Manual,24.3,1248.0,88.5,5.0,9.3,suzuki vitara
2015,70000,Diesel,Manual,12.99,2494.0,100.6,7.0,12.0,toyota innova
2017,35000,Diesel,Automatic,17.9,2143.0,136.0,5.0,23.5,mercedes-benz gla
2006,71993,Petrol,Manual,19.7,796.0,46.3,5.0,1.8,suzuki alto
2013,62000,Diesel,Automatic,14.84,2143.0,170.0,5.0,12.5,mercedes-benz new
2015,51000,Diesel,Manual,22.9,1248.0,74.0,5.0,4.74,suzuki swift
2016,26038,Petrol,Manual,18.9,1197.0,82.0,5.0,5.43,hyundai grand
2011,78088,Petrol,Manual,12.4,1998.0,132.0,8.0,6.3,toyota innova
2017,30453,Diesel,Manual,22.77,1498.0,98.59,5.0,8.45,ford ecosport
2016,54000,Petrol,Manual,18.16,1196.0,86.8,5.0,5.0,ford figo
2012,65097,Petrol,Manual,19.1,1197.0,85.8,5.0,4.7,suzuki swift
2009,111000,Petrol,Manual,18.9,1061.0,67.0,5.0,1.51,suzuki wagon
2013,63295,Diesel,Manual,19.01,1461.0,108.45,5.0,6.09,renault duster
2015,35770,Petrol,Manual,20.73,1373.0,91.1,5.0,5.95,suzuki ciaz
2012,125928,Diesel,Manual,22.7,1582.0,126.24,5.0,9.0,hyundai elantra
2015,45000,Diesel,Automatic,21.66,1498.0,103.52,5.0,4.25,skoda rapid
2013,21000,Diesel,Automatic,14.84,2143.0,170.0,5.0,23.5,mercedes-benz new
2011,54774,Petrol,Automatic,11.7,2354.0,177.6,5.0,6.35,honda accord
2014,41123,Petrol,Manual,23.1,998.0,67.04,5.0,3.4,suzuki celerio
2014,48000,Diesel,Automatic,22.69,1995.0,190.0,5.0,21.6,bmw 3
2018,12000,Diesel,Manual,23.4,1248.0,74.0,5.0,5.5,suzuki swift
2012,34000,Diesel,Automatic,12.39,2179.0,147.51,5.0,19.25,land rover
2012,71360,Diesel,Manual,21.9,1396.0,90.0,5.0,3.95,hyundai i20
2012,74000,Diesel,Manual,28.4,1248.0,73.75,5.0,4.25,suzuki dzire
2018,28937,Diesel,Manual,17.1,1956.0,170.0,5.0,17.02,jeep compass
2012,82085,Diesel,Manual,20.77,1248.0,88.76,7.0,6.5,suzuki ertiga
2011,68465,Petrol,Manual,15.6,1196.0,70.0,5.0,2.95,ford figo
2013,63854,Diesel,Manual,21.43,1364.0,86.79,5.0,7.12,toyota corolla
2018,3000,Diesel,Automatic,24.3,1248.0,88.5,5.0,11.25,suzuki vitara
2009,65055,Petrol,Manual,17.0,1497.0,118.0,5.0,2.75,honda city
2015,120000,Diesel,Manual,15.4,2179.0,120.0,7.0,12.0,mahindra scorpio
2014,64241,Petrol,Manual,20.14,1197.0,81.86,5.0,3.67,hyundai xcent
2008,88123,Diesel,Manual,18.7,1896.0,66.0,5.0,2.2,skoda octavia
2015,23001,Petrol,Manual,15.04,1598.0,103.2,5.0,5.49,volkswagen vento
2013,82002,Diesel,Automatic,16.55,1968.0,147.51,5.0,17.5,audi a4
2009,75000,Diesel,Manual,13.8,1399.0,68.0,5.0,1.99,ford ikon
2016,37451,Diesel,Manual,22.32,1582.0,126.3,5.0,6.64,hyundai verna
2017,67000,Diesel,Manual,13.68,2393.0,147.8,7.0,16.5,toyota innova
2016,25000,Petrol,Manual,18.9,1197.0,82.0,5.0,5.0,hyundai grand
2017,12000,Petrol,Manual,17.0,1198.0,73.75,5.0,5.4,volkswagen ameo
2017,25000,Petrol,Manual,25.17,799.0,53.3,5.0,2.99,renault kwid
2011,95936,Petrol,Manual,17.0,1497.0,118.0,5.0,4.1,honda city
2018,5354,Petrol,Automatic,18.9,1197.0,81.86,5.0,6.76,hyundai grand
2016,42000,Petrol,Manual,18.78,999.0,75.0,5.0,5.5,volkswagen polo
2014,44282,Diesel,Manual,25.2,1248.0,74.0,5.0,5.99,suzuki swift
2012,70000,Diesel,Manual,21.64,1461.0,84.8,5.0,2.59,nissan sunny
2016,50000,Diesel,Manual,28.09,1248.0,88.5,5.0,8.5,suzuki ciaz
2014,21727,Petrol,Manual,15.6,1196.0,70.02,5.0,3.35,ford figo
2012,43000,Diesel,Automatic,11.72,2199.0,194.3,7.0,10.75,hyundai santa
2013,75000,Diesel,Manual,12.05,2179.0,120.0,8.0,6.29,mahindra scorpio
2014,73557,Diesel,Manual,19.6,1461.0,108.45,5.0,7.75,renault duster
2012,44555,Diesel,Automatic,15.2,1968.0,140.8,5.0,13.5,audi a4
2013,54885,Petrol,Manual,15.1,1196.0,73.0,7.0,3.75,suzuki eeco
2011,76000,Diesel,Manual,14.0,2498.0,112.0,7.0,3.75,mahindra xylo
2006,101000,Petrol,Manual,18.9,998.0,67.1,5.0,1.5,suzuki wagon
2005,66000,Petrol,Manual,14.0,1061.0,64.0,5.0,1.45,suzuki wagon
2013,84360,Petrol,Manual,15.5,1586.0,103.3,5.0,4.12,suzuki sx4
2016,25121,Diesel,Manual,13.68,2393.0,147.8,7.0,17.11,toyota innova
2015,100000,Diesel,Manual,12.99,2494.0,100.6,7.0,10.25,toyota innova
2011,66035,Diesel,Manual,22.07,1199.0,73.9,5.0,2.49,volkswagen polo
2014,85670,Diesel,Manual,22.7,1498.0,89.84,5.0,6.25,ford ecosport
2015,35000,Diesel,Manual,24.0,1120.0,70.0,5.0,4.88,hyundai grand
2016,8000,Petrol,Automatic,18.0,1497.0,117.3,5.0,9.45,honda city
2007,162000,Diesel,Manual,12.8,2494.0,102.0,8.0,4.8,toyota innova
2012,60000,Petrol,Manual,21.1,814.0,55.2,5.0,1.99,hyundai eon
2010,70600,Petrol,Manual,20.36,1197.0,78.9,5.0,2.8,hyundai i10
2011,25000,Petrol,Automatic,12.3,1796.0,185.0,5.0,22.0,mercedes-benz e-class
2012,75000,Diesel,Manual,15.96,2523.0,62.1,7.0,4.3,mahindra bolero
2014,85071,Diesel,Automatic,20.0,1968.0,138.1,5.0,9.75,skoda laura
2015,40000,Petrol,Manual,20.4,1197.0,81.8,5.0,5.9,suzuki swift
2013,67000,Diesel,Automatic,16.55,1968.0,147.51,5.0,14.5,audi a4
2009,55000,Diesel,Manual,17.8,1399.0,68.0,5.0,2.4,ford fiesta
2008,62000,Petrol,Manual,15.0,1586.0,104.68,5.0,2.11,suzuki sx4
2017,22526,Petrol,Automatic,18.9,1197.0,82.0,5.0,7.6,hyundai grand
2012,57788,Petrol,Automatic,17.16,1197.0,85.8,5.0,3.6,suzuki ritz
2013,72000,Diesel,Manual,10.5,2179.0,120.0,8.0,6.0,mahindra scorpio
2014,83128,Diesel,Manual,15.4,2179.0,120.0,7.0,7.45,mahindra scorpio
2011,75000,Petrol,Manual,19.7,796.0,46.3,5.0,2.1,suzuki alto
2013,58000,Diesel,Manual,19.01,1461.0,108.45,5.0,5.2,renault duster
2015,59751,Diesel,Manual,12.99,2494.0,100.6,7.0,11.62,toyota innova
2015,75863,Diesel,Manual,19.01,1461.0,108.45,5.0,6.7,renault duster
2013,54000,CNG,Manual,33.54,998.0,67.04,5.0,3.05,suzuki wagon
2014,24000,Diesel,Automatic,17.11,1968.0,174.33,5.0,25.0,audi a4
2018,33218,Diesel,Manual,17.1,1956.0,170.0,5.0,19.05,jeep compass
2015,33425,Petrol,Manual,17.43,1396.0,105.5,5.0,4.5,hyundai verna
2013,47000,Petrol,Manual,18.0,1198.0,86.7,5.0,4.15,honda amaze
2015,41000,Diesel,Manual,19.67,1582.0,126.2,5.0,11.9,hyundai creta
2011,62000,Petrol,Manual,19.81,1086.0,68.05,5.0,2.1,hyundai i10
2008,56230,Petrol,Manual,17.5,1298.0,85.8,5.0,2.4,suzuki swift
2007,55000,Petrol,Manual,13.2,1495.0,94.0,5.0,2.65,hyundai accent
2014,70669,Diesel,Manual,15.1,2179.0,140.0,7.0,9.0,mahindra xuv500
2012,69000,Petrol,Manual,20.92,998.0,67.1,5.0,2.1,suzuki alto
2011,65000,Petrol,Manual,18.6,1199.0,79.4,5.0,2.5,chevrolet beat
2009,30000,Diesel,Automatic,12.4,2698.0,179.5,5.0,8.95,audi a6
2015,40000,Petrol,Manual,17.57,1193.0,88.7,5.0,4.0,tata zest
2014,40000,Diesel,Manual,26.0,1498.0,98.6,5.0,4.45,honda city
2010,26000,Petrol,Manual,18.6,1199.0,79.4,5.0,1.5,chevrolet beat
2011,105000,Diesel,Automatic,16.55,1968.0,140.0,5.0,14.5,audi a4
2014,71000,Diesel,Automatic,19.08,1582.0,126.32,5.0,5.45,hyundai verna
2015,32896,Petrol,Automatic,18.0,1497.0,117.3,5.0,8.9,honda city
2012,45000,Petrol,Manual,20.36,1197.0,78.9,5.0,3.65,hyundai i10
2013,45200,Diesel,Automatic,16.55,1968.0,147.51,5.0,13.5,audi a4
2008,82167,Petrol,Automatic,10.1,2354.0,152.0,5.0,5.4,honda cr-v
2016,37429,Petrol,Manual,18.9,1197.0,81.86,5.0,5.89,hyundai grand
2016,46000,Diesel,Manual,28.09,1248.0,88.5,5.0,8.45,suzuki ciaz
2011,67031,Petrol,Manual,17.4,1497.0,117.3,5.0,4.0,honda city
2016,47691,Petrol,Automatic,23.1,998.0,67.04,5.0,3.94,suzuki celerio
2013,71336,Diesel,Manual,20.0,1399.0,68.0,5.0,4.1,ford figo
2015,28193,Diesel,Manual,28.4,1248.0,73.75,5.0,5.25,suzuki dzire
2013,85000,Diesel,Automatic,16.1,1950.0,194.0,5.0,21.0,mercedes-benz e-class
2015,20780,Petrol,Manual,18.9,1197.0,81.86,5.0,4.3,hyundai grand
2014,43081,Petrol,Manual,17.3,1497.0,117.3,7.0,5.25,honda mobilio
2007,67000,Petrol,Manual,13.4,1794.0,125.0,5.0,2.2,toyota corolla
2016,34079,Diesel,Manual,25.32,1198.0,77.0,6.0,3.7,mahindra kuv
2010,77849,Petrol,Automatic,10.9,2497.0,215.0,5.0,11.27,bmw 3
2013,86000,Petrol,Manual,22.74,796.0,47.3,5.0,2.41,suzuki alto
2015,110000,Diesel,Automatic,15.73,1968.0,174.33,5.0,19.0,audi q3
2015,116000,Diesel,Manual,23.59,1364.0,67.05,5.0,5.8,toyota etios
2016,41840,Diesel,Manual,15.1,2179.0,140.0,7.0,13.52,mahindra xuv500
2015,19317,Diesel,Manual,13.0,2982.0,168.7,7.0,24.5,toyota fortuner
2014,41000,CNG,Manual,24.6,1193.0,55.23,5.0,3.25,tata indigo
2015,83950,Diesel,Manual,19.67,1582.0,126.2,5.0,9.95,hyundai creta
2012,60000,Petrol,Automatic,16.8,1497.0,118.0,5.0,5.5,honda city
2015,50000,Diesel,Automatic,17.11,1968.0,174.33,5.0,25.0,audi a4
2009,37000,Petrol,Manual,17.3,993.0,60.0,5.0,1.0,suzuki zen
2011,76976,Petrol,Manual,19.7,796.0,46.3,5.0,2.15,suzuki alto
2018,21684,Petrol,Automatic,21.4,1197.0,83.1,5.0,7.89,suzuki baleno
2015,62000,Diesel,Manual,16.0,2179.0,140.0,7.0,10.25,mahindra xuv500
